accession	cancer	sample	title	description
GSE44666	breast	30	Interplay of choline metabolites and genes in patient-derived breast cancer xenografts	Dysregulated choline metabolism is a well-known feature of breast cancer, but the underlying mechanisms are not fully understood. In this study, the metabolomic and transcriptomic characteristics of a large panel of human breast cancer xenograft models were mapped, with focus on choline metabolism.   Methods: Tumor specimens from 34 patient-derived xenograft models were collected and divided in two. more...
GSE31604	breast	30	Human breast cancer cell lines: vehicle vs. BMP7 incubation	Bone morphogenetic proteins (BMPs) are members of the TGF-β superfamily of growth factors. They are known for their roles in regulation of osteogenesis and developmental processes and, in recent years, evidence has accumulated of their crucial functions in tumor biology. BMP7, in particular, has been implicated in breast cancer. However, little is known about BMP target genes in the context of tumor. more...
GSE31603	breast	30	Human breast cancer cell lines: vehicle vs. BMP4 incubation	Bone morphogenetic proteins (BMPs) are members of the TGF-β superfamily of growth factors. They are known for their roles in regulation of osteogenesis and developmental processes and, in recent years, evidence has accumulated of their crucial functions in tumor biology. BMP4, in particular, has been implicated in breast cancer. However, little is known about BMP target genes in the context of tumor. more...
GSE23209	breast	30	Molecular Signature of response and potential pathways related to resistance to the HSP90 inhibitor, 17-AAG, in breast cancer.	We have done transcriptional profiling of 17-AAG treated (24h, 48H) breast cancer cell lines to understand  the mechanisms of the drug action and indicate novel set of pharmacodynamic biomarkers of the drug response as well as of resistance
GSE51086	breast	29	29 untreated breast cancer cell lines vs. pool of all 29 cell lines.	Expression profiling of 29 untreated breast cancer cell lines using Agilent 4x44K V1 (G4112F) dual color oligonucleotide microarrays The primary study objective was to establish a research resource for comparative transcriptomic analysis of a series of commercially available breast cancer cell lines representative of diverse histopathologic and molecular subtypes, generated on the Agilent oligonucleotide platform. more...
GSE44836	breast	26	Gene expression profile of breast cancer cells.	We compared the gene expression profile of 26 breast cancer cell lines to identify variations associated with different phenotypes and molecular subtype. The panel includes 13 estrogen receptor negative (ER-) and 13 ER+ cell lines. Four of the ER- cell lines and 5 of the ER+ cell lines are HER2 positive.
GSE1864	breast	25	A genomic view of estrogen actions in human breast cancer cells	Changes in the expression of 8400 genes were monitored by cDNA microarray analysis during the first 32 h of human breast cancer (BC) ZR-75.1 cell stimulation with a mitogenic dose of 17beta-estradiol, a timing which corresponds to completion of a full mitotic cycle in hormone-stimulated cells. Hierarchical clustering of 344 genes whose expression either increases or decreases significantly in response to estrogen reveals that the gene expression program activated by the hormone in these cells shows 8 main patterns of gene activation/inhibition. more...
GSE108324	breast	24	Gene expression analysis to find molecular mechanisms underlying the role of miR-342-5p in HER2 breast cancer	The molecular mechanisms behind the miR-342-5p-induced HER2 pathway regulation are not known. Here, we aimed to further investigate the role of miR-342-5p in HER2 driven breast cancer cells. Transfected cells were incubated for 24 hours, and total RNA were run on mRNA arrays.
GSE103115	breast	24	Cisplatin-induced gene expression changes in triple-negative breast cancer (TNBC) cells	Breast cancers lacking receptors for estrogen, progesterone or HER2 on their cell surface are called triple-negative breast cancers (TNBCs). TNBCs account for ~15-20% of all invasive breast cancers and do not benefit from anti-hormonal or anti-HER2 treatments. Although patients with TNBC can initially respond to chemotherapy, they do have worse overall prognosis compared to other breast cancer subtypes. more...
GSE101920	breast	24	Molecular signature of response to preoperative radiotherapy in locally advanced breast cancer	gene expression profiling of locally invasive breast carcinomas treated with preoperative radiotherapy the purose of this study was to establish molecular signature associated with response to radiotherapy using radiotherapy-naïve biopsies of locally advanced breast cancer
GSE54465	breast	24	Expression profiling of migrated and invaded breast cancer cells predicts early metastatic relapse and reveals Krüppel-like factor 9 as a potential suppressor of invasive growth in breast cancer	Cell motility and invasion initiate metastasis. However, only a subpopulation of cancer cells within a tumor will ultimately become invasive. Due to this stochastic and transient nature, in an experimental setting, migrating and invading cells need to be isolated from the general population in order to study the gene expression profiles linked to these processes. This report describes microarray analysis on RNA derived from migrated or invaded subpopulations of triple negative breast cancer cells in a Transwell set-up, at two different time points during motility and invasion, pre-determined as “early” and “late” in real-time kinetic assessments. more...
GSE54326	breast	24	Global gene expression analysis of anthracycline-resistant breast cancer cell lines	Drug resistance in breast cancer is the major obstacle to a successful outcome following chemotherapy treatment. While upregulation of multidrug resistance (MDR) genes is a key component of drug resistance in multiple cancers, the complexity and hierarchy of non-MDR driven drug resistance pathways are still largely unknown. The aim of this study was to identify pathways contributing to anthracycline resistance using isogenic drug resistant breast cancer cell lines. more...
GSE34987	breast	24	Genome-wide analysis of GW3965-responsive genes in 4 different breast cancer cell lines, MCF-7, T-47D, SK-BR-3, and MDA-MB-231	Analysis of differentially expressed genes in response to the LXR agonist GW3965 in the MCF-7, T-47D, SK-BR-3, and MDA-MB-231 breast cancer cell lines.  It was previously reported that GW3965 has antiproliferative effects on these 4 different breast cancer cell lines. In the present study, we additionally determine the effects of the LXR ligand on breast cancer cells and determine their mechanism of action in reducing cell proliferation.
GSE39564	breast	24	Transducin-like enhancer protein 1 mediates estrogen receptor binding and transcriptional activity in breast cancer cells	Transducin-like enhancer protein 1 mediates estrogen receptor binding and transcriptional activity in breast cancer cells
GSE28992	ovarian	24	Effect of a dual specificity PI3K/mTOR inhibitor, NVP-BEZ235, on human ovarian cancer cell lines grown in 3D culture	Analysis of the effects of a dual specificity PI3K/mTOR inhibitor on two human ovarian cell lines, OV2008 and MCAS.  Results provide insight into the adaptive response to PI3K/mTOR inhibition in matrix attached ovarian cancer cells. The PI3K/mTOR-pathway is the most commonly deregulated pathway in epithelial cancers and thus represents an important target for cancer therapeutics. Here we show that dual inhibition of PI3K/mTOR in ovarian cancer 3D-spheroids leads to death of the inner matrix-deprived cells, whereas matrix-attached cells are resistant. more...
GSE15341	breast	24	Non-radiated and Radiated lymphocytes from breast cancer patients treated with high-dose hyperfractioned radiotherapy	The aim of this study was to assess the relationship between gene expression profiles of ex vivo 2 Gy radiated lymphocytes and the development of acute and late toxicity due to hyperfractionated dose-escalation radiation therapy schedule in patientes with advanced breast cancer.  The gene expression profiles of ex vivo non-radiated lymphocytes were also examined.  Keywords: Toxicity grade analysis.
GSE25915	breast	23	Gene expression data for two xenograft models representing luminal-like and basal-like breast cancer	Choline (reference 1) and glucose (reference 2) was studied using HR MAS MR spectroscopy data and 105 and 38 gene transcripts were selected respectively from the microarray data to study differences between two xenograft models. Reference 1: Moestue SA et al, Distinct choline metabolic profiles are associated with differences in gene expression for basal-like and luminal-like breast cancer xenograft models, BMC Cancer 2010 Aug 17;10:433 (PMID: 20716336). more...
GSE106616	ovarian	21	nc886, a TGF-β-induced non-coding RNA, suppresses the microRNA pathway in ovarian cancer	Transforming growth factor-β (TGF-β) signaling and microRNAs (miRNAs) are important gene regulatory components in cancer. Usually in advanced malignant stages, TGF-β signaling is elevated, but global miRNA expression is suppressed. Such a gene expression signature is well illustrated in a fibrosis/mesenchymal subtype of ovarian cancer (OC) that is of poor prognosis. However, the interplay between the two pathways in the OC subtype has not yet been elucidated. more...
GSE31118	breast	21	Estrogen-dependent gene expression in human breast cancer cells relies upon proteosome-dependent monoubiquitination of histone H2B	The estrogen receptor-alpha (ERα) determines breast cancer cell phenotype and is a prognostic indicator. A better understanding of the mechanisms controlling ERα function may uncover improved strategies for the treatment of breast cancer. Proteasome inhibition was previously reported to regulate estrogen-induced transcription but the mechanisms by which it influences ERα function remain controversial. more...
GSE30480	breast	20	Gene expression profile of purified tumor cells from primary breast cancer tumor tissues and metastatic lymph nodes	Gene expression profiling of whole tumor tissues consists of a heterogeneous population of tumor and stromal cells. We performed gene expression profiling of flow cytometry purified tumor cells from primary breast tumor tissues and metastatic lymph nodes in order to segregate tumor signatures from stromal signatures. The goal of this set of expression profiles was to understand the underlying mechanism of lymph node metastatic processes by comparing primary breast tumor cell gene expression profiles with that of lymph node metastatic tumor cells. more...
GSE31003	breast	20	FOXA1 actively represses the molecular phenotype of basal breast cancers.	Breast cancer is a heterogeneous disease comprised of at least five major subtypes. Luminal subtype tumors confer a more favorable patient prognosis, which is in part, attributed to the Estrogen Receptor-α (ER) positivity and anti-hormone responsiveness of these tumors. Expression of the forkhead box transcription factor, FOXA1, also correlates with the luminal subtype and patient survival, but is present in a subset of ER-negative tumors. more...
GSE13915	breast	20	Prognostic signature of epithelial-mesenchymal transition in breast cancer	Epithelial-mesenchymal transition (EMT), a switch of polarized epithelial cells to a migratory, fibroblastoid phenotype, is considered a key process driving tumor cell invasiveness and metastasis.  Using breast cancer cell lines as a model system, we sought to discover gene-expression signatures of EMT with clinical and mechanistic relevance.  A supervised comparison of epithelial and mesenchymal breast cancer lines defined a 200-gene EMT signature that was prognostic across multiple breast cancer cohorts. more...
GSE51831	ovarian	19	Genome-wide analysis of mRNA expression alterations in Stage III-IV high-grade serous ovarian cancer patients exhibiting clinically defined differences in ascites volume (high volume ascites versus low volume ascites)	Microarrays were used to examine gene expression changes in the surgical resections of high-grade serous ovarian cancer patients exhibiting clinically distinct levels of ascites volume.  The present studies primary aim was to determine if there is a molecular gene expression  difference between the patients presenting at time of surgery when high volumes ascites cases were compared to those with low volume ascites. more...
GSE49888	ovarian	19	Ovarian Cancer: 19 ovarian tumors of diverse histologic type vs. pool of all 19 tumors.	Transcriptional profiling of 19 ovarian tumors of 5 distinct histologic types (serous, endometrioid, clear cell, mucinous and small cell), to investigate similar and distinct biology associated with each histologic type.
GSE37614	breast	19	Human breast cancer associated fibroblasts exhibit subtype specific gene expression profiles	Breast cancer is a heterogeneous disease for which prognosis and treatment strategies are largely governed by the receptor status (estrogen, progesterone and Her2-neu) of the tumor cells.  Gene expression profiling of whole breast tumors further stratifies breast cancer into several molecular subtypes which also co-segregate with the receptor status of the tumor cells.  We postulated that cancer associated fibroblasts (CAFs) within the tumor stroma may exhibit subtype specific gene expression profiles and thus contribute to the biology of the disease in a subtype specific manner. more...
GSE36075	breast	19	Estrogen receptor dynamics in diverse patient-derived luminal breast cancer xenografts	Primary breast cancer xenografts
GSE29763	ovarian	18	Gene expression profile associated with a cytostatic does of mifepristone in ovarian cancer cells by microarray analysis	Goal of the experiment:  To examine differential gene expression in three ovarian cancer cell lines in the absence and presence of mifepristone.  Brief description of the experiment:   Hypothesis:  The gene expression profile associated with a cytostatic response to Mifepristone will be similar between ovarian cancer cells regardless of their p53 status or sensitivity to Cisplatin. Aim:  Evaluate the modifications in gene expression profile in ovarian cancer cells in response to a cytostatic concentration of Mifepristone against those in logarithmic phase of growth (Vehicle). more...
GSE46850	breast	18	A Common Docking (CD) Domain in Progesterone Receptor-B Links MKP3-Dependent Rapid Signaling Events to JAK/STAT Regulation of Gene Expression Required for Breast Cancer Cell Proliferation	Progesterone receptors (PRs) are critical context-dependent transcription factors required for normal uterine (PR-A) and mammary gland (PR-B) development. Progesterone is proliferative in the breast, where PR-target genes include paracrine factors that mediate mammary stem cell self-renewal. In the context of altered signal transduction that typifies breast tumorigenesis, dysregulated (i.e. hyper-phosphorylated) PRs likely contribute to tumor progression by promoting cancer cell pro-survival and proliferation. more...
GSE48928	breast	18	Knockdown of breast cancer master regulators: siRNA targeting PTTG1 and SPDEF in MCF-7 cells.	Genome-wide association studies for breast cancer have identified over 80 different risk regions in the genome, with the FGFR2 locus consistently identified as the most strongly associated locus. However, we know little about the mechanisms by which the FGFR2 locus mediates risk or the pathways in which multiple risk loci may combine to cause disease.  Here we use a systems biology approach to elucidate the regulatory networks operating in breast cancer and examine the role of FGFR2 in mediating risk. more...
GSE41197	breast	18	Differentially Expressed Genes Regulating the Progression of Ductal Carcinoma In Situ to Invasive Breast Cancer (Group 3)	We used gene expression profiling of human DCIS and IBC to discover uniquely expressed genes that may also regulate progression.
GSE1926	ovarian	18	Carboplatin Sensitivity in Ovarian Carcinoma	Use Of Expression Arrays To Identify Genes From Ovarian Cancer Cells That Are Associated With Carboplatin Sensitivity And Resistance as defined by ChemoFX Assay Keywords: parallel sample
GSE107924	breast	16	Transition of breast cancer cells from luminal to basal-like phenotype engages a shift from genomic to non-genomic activities of ERα activity	Estrogen receptor (ERα) is central in driving the development of hormone-dependent breast cancers. A major challenge in treating these cancers is to understand and struggle endocrine resistance. We have previously shown that the Megakaryoblastic Leukemia 1 (MKL1) protein, a master regulator of actin dynamic and cellular motile functions, directs down-regulation of ERα and hormonal escape of estrogen-responsive breast cancer cell lines. more...
GSE53566	breast	16	CapG a putative oncogen affects gene expression in breast cancer cells	The transition from ductal carcinoma in situ (DCIS) to invasive ductal carcinoma (IDC) is an important step during breast tumorgenesis. Understanding its molecular changes may uncover both novel preventive and therapeutic strategies and may help to identify high-risk DCIS that progress to IDC. The mechanisms are unknown and the role of CapG in the nucleus is an enigma. Here, we tested the association between clinicopathological CapG expression in tumor samples and used a cell culture model to test the hypothesis that CapG affects gene expression. more...
GSE52292	breast	16	Basal-like Breast Cancer Cells Induce Phenotypic and Genomic Changes in Macrophages	Basal-like breast cancer (BBC) is an aggressive subtype of breast cancer that has no biologically targeted therapy. The interactions of BBCs with stromal cells are important determinants of tumor biology, with inflammatory cells playing well-recognized roles in cancer progression. Despite the fact that macrophage–BBC communication is bidirectional, important questions remain about how BBCs affect adjacent immune cells. more...
GSE36131	breast	16	Breast cancer cell lines treated with EZH2 inhibitor compounds	Loss of H3K27me3 repressive chromatin histone marks, maintained by the histone methyltransferase (HKMT) EZH2, may lead to reversal of epigenetic silencing in tumor cells and have therapeutic potential.  Using a cell-based assay, we have identified three compounds from a HKMT inhibitor chemical library which re-express H3K27me3 mediated, silenced genes. Chromatin immunoprecipitation verified a decrease in silencing marks (H3K27me3, H3K9me3) and importantly an increase in active marks (H3K4me2/3, H3K27ac) at the promoter of re-expressed genes. more...
GSE33447	breast	16	Gene expression profiles in breast cancer: breast cancer tissues vs. normal breast tissues	To screen candidate methylation markers for early detection of breast cancer, we performed methylated-CpG island recovery assay combined with CpG island array on 61982 CpG sites across 4162 genes in 10 breast tumor tissues and 10 non-tumor breast tissues. We detected 70 significantly hypermethylated genes in breast tumor tissues, including many novel hypermethylated genes such as ITGA4, NFIX, OTX2 and FGF12. more...
GSE12080	breast	16	Gene expression signature involved in estrogen receptor status and prognosis of breast cancers.	Fine needle aspiration biopsies (FNABs) of breast cancers were taken before and after surgeries from 16 patients. The cDNA microarray data were used to determine the gene expression profile responding to patient's clinical finding and tumor's pathological changes. A gene profile was generated as Estrogen Receptor Gene Signature (ERGS). The ERGS was verified in a reference dataset and correlated with patient's prognosis significantly. more...
GSE48384	breast	15	Differential in vivo tumorigenicity of distinct subpopulations from a luminal-like breast cancer model (expression)	The cellular heterogeneity of one patient derived orthotopic breast cancer xenograft model (PDBCX) was investigated using flow cytometry , combined with assessment of in vivo tumorigenicity and whole genome expression profiling. Epithelial cell adhesion molecule (EpCAM) was revealed as a highly specific cell surface marker of the human tumor cell population in both xenografts.   Based on expression patterns observed in primary tumor tissue, SSEA-4 and CD24 were chosen as markers to further subdivide the luminal tumor cells into four subpopulations. more...
GSE34817	breast	15	Co-targeting of the PI3K pathway improves the response of BRCA1 deficient breast cancer cells to PARP1 inhibition	Although pre-clinical and clinical studies on PARP1 inhibitors, alone and in combination with DNA-damaging agents, show promising results, further ways to improve and broaden the scope of application of this therapeutic approach are warranted. To this end, we have investigated the possibility of improving the response of BRCA1 mutant breast cancer cells to PARP1 inhibition by co-targeting the PI3K pathway. more...
GSE28570	breast	15	Characterization of human breast cancer xenografts	A bank of human breast tumor xenografts was established by serial passage of primary breast tumor fragments in the cleared mammary fat pads of immuno-compromised NOD-SCID-IL2Rgammac–/– mice. The 15 expression profiles from five different tumors were classified using the ClaNC method [1]. The training data set consisted of 94 samples from Herschkowitz et al. [2]; class labels were based on tumor subtype (Basal-like, Luminal A, Luminal B, Claudin-low, HER2+/ER- and Normal breast-like). more...
GSE43816	breast	14	Response to Neoadjuvant Chemotherapy in Triple Negative Breast tumors.	In a cohort study of 7 women with primary invasive breast cancer, we obtained a tumor specimen before (biopsy) and after (tumorectomy) 4 cycles of NAC with epirubicine and cyclophosphamide, followed by 4 cycles of taxanes. Total RNA was extracted from tumor specimens and the whole transcriptome was quantified with Affymetrix HuGene1.1ST. Molecular functions changing during chemotherapy were searched.
GSE41196	breast	14	Differentially Expressed Genes Regulating the Progression of Ductal Carcinoma In Situ to Invasive Breast Cancer (Group 2)	We used gene expression profiling of human DCIS and IBC to discover uniquely expressed genes that may also regulate progression.
GSE36586	breast	14	Interplay between AP-1 and ERalpha in regulating gene expression and proliferation networks in breast cancer cells	Estrogen receptor alpha (ERalpha) is a ligand-dependent transcription factor that plays an important role in breast cancer. Estrogen-dependent gene regulation by ERalpha can be mediated by interaction with other DNA-binding proteins, such as activator protein-1 (AP-1). The nature of such interactions in mediating the estrogen response in breast cancer cells remains unclear. Here we show that knockdown of c-Fos, a component of the transcription factor AP-1, attenuates the expression of 37% of all estrogen-regulated genes, suggesting that AP-1 is a fundamental factor for ERalpha-mediated transcription. more...
GSE101780	breast	13	Comparison of GATA3 mutant and GATA3 wild type isogenic MCF-7 and CAMA1 breast cancer cell lines	The GATA3 transcription factor is one of the most frequently mutated genes in breast cancer. Heterozygous mutations, largely frameshifting, are seen in 15% of estrogen receptor positive breast cancers, the subtype in which these mutations are almost exclusively found. Mouse studies have shown that Gata3 is critical for breast development and that GATA3 gene dosage affects breast tumor progression. Human patient data have shown that high Gata3 expression, a feature of luminal subtype breast cancers, is associated with a better prognosis. more...
GSE109577	ovarian	12	A tissue-engineered mimic of the ovarian cancer microenvironment of increases cell proliferation and tumor growth.	Using tissue engineering technologies, we aimed to engineer the ovarian tumor microenvironment to study disease progression by combining biomimetic hydrogels with melt electrospun written scaffolds. 3D co-cultures were constructed by assembling ovarian cancer cell-laden hydrogels with mesothelial cell-layered scaffolds. 3D constructs were characterised by proliferation and transcriptomic analyses and applied to an intraperitoneal xenograft model. more...
GSE45643	breast	12	Progesterone receptor-B enhances estrogen responsiveness of breast cancer cells via scaffolding PELP1- and estrogen receptor-containing transcription complexes	Progesterone and estrogen are important drivers of breast cancer proliferation. Herein, we probed estrogen receptor-α (ER) and progesterone receptor (PR) cross-talk in breast cancer models. Stable expression of PR-B in PR-low/ER+ MCF7 cells increased cellular sensitivity to estradiol and insulin-like growth factor 1 (IGF1), as measured in growth assays performed in the absence of exogenous progestin; similar results were obtained in PR-null/ER+ T47D cells stably expressing PR-B. more...
GSE55503	breast	12	Effects of siRNA targeting PRKCD in breast cancer cells	The aim was to identify genes that were commonly influenced by a siRNA targeting PRKCD in breast cancer cell lines.
GSE34276	breast	12	Global analysis of TGF-beta-regulated gene expression in MCF10Ca1h (M3) breast tumor xenografts	TGF-betas have complex roles in tumorigenesis,  with context-dependent effects that can either suppress or promote tumor progression. We have previously shown that TGF-beta has tumor suppressor activity in the MCF10Ca1h (M3) human breast cancer xenograft model.  To identify potential molecular players in the tumor suppressor responses,  we performed global gene expression analyses. To determine which genes were regulated by TGF-beta in this tumor model in vivo,  we performed gene expression arrays on tumors derived from xenografts of M3 cells with and without expression of a dominant negative TGF-beta receptor to block activity of endogenous TGF-beta.
GSE54319	breast	12	Microarray analysis of breast cancer cell lines with different levels of P-cadherin expression treated with the anti-cancer bacterial protein azurin	We performed a microarray analysis to compare the expression profile of azurin treated and untreated with different P-cadherin expression levels. We also compared the differentially expressed genes regulated by P-cadherin overexpression. Both cell lines presented an up-regulation of apoptosis mediated by p53 protein, endocytosis and vesicle-mediated transport. Conversely, invasive MCF-7/AZ.Pcad cells treated with azurin presented a decreased expression of genes associated with cell surface receptors and signal transduction, as well as genes associated with biological adhesion and migration. more...
GSE56445	breast	12	The transcriptional regulators TAZ and YAP direct Transforming Growth Factor-beta-induced tumorigenic phenotypes in breast cancer cells	Uncontrolled Transforming growth factor-beta (TGFβ) signaling promotes aggressive metastatic properties in late-stage breast cancers. However, how TGFβ-mediated cues are directed to induce late-stage tumorigenic events is poorly understood, particularly given that TGFβ has clear tumor suppressing activity in other contexts. Here we demonstrate that the transcriptional regulators TAZ and YAP (TAZ/YAP), key effectors of the Hippo pathway, are necessary to promote and maintain TGFβ-induced tumorigenic phenotypes in breast cancer cells. more...
GSE53049	breast	12	Pharmacological levels of Withaferin A (Withania somnifera) trigger clinically relevant anticancer effects specific to triple negative breast cancer cells	Withaferin A isolated from Withania somnifera (Ashwagandha) has recently become an attractive phytochemical under investigation in various preclinical studies for treatment of different cancer types. In the present study, a comparative pathway-based transcriptome analysis was applied in epithelial-like MCF-7 and triple negative mesenchymal MDA-MB-231 breast cancer cells exposed to concentrations of Withaferin A (WA) which can be detected systemically in in vivo experiments. more...
GSE54891	breast	12	LRH-1 governs vital transcriptional programs in endocrine sensitive and resistant breast cancer cells: Expression profiling	Tumor characteristics are decisive in the determination of treatment strategy for breast cancer patients. Patients with estrogen receptor-α (ERα) positive breast cancer can benefit from long-term hormonal treatment. Nonetheless, the majority of patients will develop resistance to these therapies. Here, we investigated the role of the liver receptor homolog-1 (LRH-1, NR5A2) in anti-estrogen (AE) sensitive and resistant breast cancer cells. more...
GSE54621	ovarian	12	Preclinical analysis of acquired resistance after prolonged efficacious metronomic oral topotecan chemotherapy plus pazopanib therapy in advanced ovarian carcinoma	An alternative or follow-up adjunct to conventional maximum tolerated dose (MTD) chemotherapy now in advanced phase III clinical trial assessment is metronomic chemotherapy?the close regular administration of low doses of drug with no prolonged breaks. A number of preclinical studies have shown metronomic chemotherapy can cause long term survival of mice with advanced cancer, including metastatic disease, in the absence of overt toxicity, especially when combined with targeted antiangiogenic drugs. more...
GSE53618	breast	12	Gene profile of breast cancer tumors with low and high FAK expression	The gene expression profiles were identified in breast cancer tumors with different level of FAK
GSE38551	ovarian	12	Expression profiles of IRF-1 silenced ovarian cancer cell lines	Ovarian cancer cells treated with CDDP showed up-regulation of IRF-1 and IRF-7. The expression of putative IRF-1 target genes was modulated. CDDP triggered nuclear translocation of IRF-1 and IRF-1 silencing re-orchestrated the expression profiles of CDDP treated cells.
GSE42529	breast	12	High-throughput 3D screening reveals differences in drug sensitivities between culture models of JIMT1 breast cancer cells.	The traditional method for studying cancer in vitro is to grow immortalized cancer cells in two-dimensional (2D) monolayers on plastic. However, many cellular features are impaired in these unnatural conditions and big alterations in gene expression in comparison to tumors have been reported. Three-dimensional (3D) cell culture models have become increasingly popular and are suggested to be better models than 2D monolayers due to improved cell-to-cell contacts and structures that resemble in vivo architecture. more...
GSE47583	breast	12	Gene expression analysis of MCF7 breast cancer cells cultured as xenografts, in two dimensional cultures, in polyHEMA anchorage independent three dimansional cell culture models and in Matrigel three dimensional cultures.	The traditional method for studying cancer in vitro is to grow immortalized cancer cells in two-dimensional (2D) monolayers on plastic. However, many cellular features are impaired in these unnatural conditions and big alterations in gene expression in comparison to tumors have been reported. Three-dimensional (3D) cell culture models have become increasingly popular and are suggested to be better models than 2D monolayers due to improved cell-to-cell contacts and structures that resemble in vivo architecture. more...
GSE49005	breast	12	Multiscale Gene Networks Dissect the Complexity of Breast Cancer	Despite the enormous amounts of molecular, cellular, and clinical data that are increasingly available for many different types of cancer, it remains a challenge to integrate different dimensions of data to construct mechanistic models that can robustly distinguish key driver genes from passenger genes, predict tumor progression, and tailor therapies optimally for individual patients. We present an integrative biology approach to constructing and analyzing multiscale regulatory networks of breast cancer. more...
GSE36928	breast	12	Expression profile of the  endocrine therapy resistant breast cancer cells LTED depleted of PBX1 or treated with the gamma-secretase inhibitor MRK003	Analysis of the response to PBX1 deprivation either using an siRNA approach or using a chemicalcompound indirectly targeting it. Deprivation of PBX1 is hypothesized to be essential for the growth of endocrine therapy resistant breast cancer cells (LTED)
GSE40766	breast	12	Genome-wide mapping of FOXM1 binding reveals co-binding with oestrogen receptor alpha in breast cancer cells (expression)	The forkhead transcription factor FOXM1 is a key regulator of the cell cycle and is overexpressed in cancer. Increased levels of FOXM1 are associated with both poor prognosis and oestrogen receptor (ERalpha) status in primary breast cancer. In this study, we map FOXM1 binding genome wide in both ERalpha-positive (MCF-7) and -negative (MDA-MB-231) breast cancer cells. We identify a common set of FOXM1 binding events at cell cycle-regulating genes, but in addition, in MCF-7 cells we find a high level of concordance with ERalpha-binding regions. more...
GSE41894	breast	12	Prolactin-induced protein (PIP) regulates proliferation of luminal A type breast cancer cells in a hormone-independent manner	RNA was extracted from cells using Aurum Total RNA kit from Bio-Rad Laboratories, Inc., Hercules, CA following the manufacturer’s recommendations. Gene expression profiling was performed using the BeadChip HumanHT-12 v4 Expression kit from Illumina®, which contains 47,231 gene-probes (Illumina® Inc., San Diego, CA). The raw signal intensities were imported and analyzed using the GenomeStudio® data software. more...
GSE40725	breast	12	Genome-Wide Progesterone Receptor Binding: Cell Type-Specific and Shared Mechanisms in Uterine Fibroids and Breast Cancer (Expression BeadChip)	Analysis of genes regulated by RU486 (an progesterone antagonist) in human breast cancer T47D cells and human uterine leiomyoma smooth muscle cells. The hypothesis is that RU486 inhibits tumor growth by inactivating the transcription of multiple genes which trigger critical signaling pathways to induce tumorigenesis in both breast caner and uterine leomyoma.  Tissue-specific and common patterns of gene regulation may determine the therapeutic effects of antiprogestins in uterine leiomyoma and breast cancer. more...
GSE36542	breast	12	Protein Arginine Methyltransferase 6 dependent gene expression and splicing: Association with breast cancer outcomes	Protein arginine methyltransferase-6 (PRMT6) regulates steroid-dependent transcription and alternative splicing, and is implicated in endocrine system development and function, cell death, cell cycle, gene expression and cancer. Despite its role in these processes, little is known about its function and cellular targets in breast cancer. To identify novel gene targets regulated by PRMT6 in breast cancer cells, we used a combination of small interfering RNA (siRNA) and exon-specific microarray profiling in vitro, coupled to in vivo validation in normal breast and primary human breast tumours. more...
GSE34148	breast	12	Phosphorylated and Sumoylation-Deficient Progesterone Receptors Drive Proliferative Gene Signatures During Breast Cancer Progression (Illumina gene expression analysis)	Anlaysis of the differential gene expression between T47D cells expressing wild type (WT) progesterone receptor isoform B (PR) or SUMOylation-deficient PR molecules.
GSE30931	breast	12	Proteasome inhibition blocks estrogen-dependent gene transcription by decreasing histone H2B monoubiquitination in human breast cancer cells	The estrogen receptor-alpha (ERα) determines breast cancer cell phenotype and is a prognostic indicator. A better understanding of the mechanisms controlling ERα function may uncover improved strategies for the treatment of breast cancer. Proteasome inhibition was previously reported to regulate estrogen-induced transcription but the mechanisms by which it influences ERα function remain controversial. more...
GSE33482	ovarian	12	Gene Expression Profile of Cisplatin Resistance in Ovarian Cancer Cell Lines	To determine the signaling networks that are dysregulated in platinum-resistant ovarian cancer, gene expression data were obtained from, and compared between, the ovarian cancer cell line, A2780, and its cisplatin-resistant derivative, A2780cis.
GSE26537	breast	12	Heparins treated human breast cancer MCF-7 cell	To inquire the a possible mechanism for heparin treatment improved cancer survival, three type of heparins: one standard heparin (unfractionated heparin (UFH), and two of  low molecular weight heparin (LMWH) Fragmin and Clexane were used to treat cell for 24 hours. Total RNA was used for cDNA Microarray assay.
GSE17188	breast	12	Hypoxia response by human breast cancer cell MDA-MB-231 sublines	Two MDA-MB-231 sublines, SCP2 and LM2 (4175), were applied to low oxygen (1%) for 0, 6 and 24 hours, then profiled for RNA expression.
GSE47369	breast	11	Targeting BCL-2 with the BH3 mimetic ABT-199 in ER-positive breast cancer	A bank of human breast tumor xenografts was established by serial passage of primary breast tumor fragments in the cleared mammary fat pads of immuno-compromised NOD-SCID-IL2Rgammac-/- mice. The expression profiles from four different tumors (23T, 315T, 50T and 838T) were classified using diagonal discriminant analysis. The training data set consisted of 1992 samples from Curtis et al. (2012, PMID: 22522925); class labels were based on tumor subtype information provided (Basal-like, Luminal A, Luminal B, HER2-enriched and Normal breast-like).
